# status	folder	message
DONE	/Volumes/导演们/让·雷诺阿/风中双骑	completed 2026-06-10 14:08:02; output=/Volumes/导演们/让·雷诺阿/风中双骑.Saddle.the.Wind.1958.mkv
DONE	/Volumes/导演们/韦斯·安德森/水中生活	completed 2026-06-10 14:08:21; output=/Volumes/导演们/韦斯·安德森/水中生活.The.Life.Aquatic.with.Steve.Zissou.2004.DVD.SCREENER.XViD-TheFly.mkv
DONE	/Volumes/导演们/埃里克·侯麦/德莱叶	completed 2026-06-10 14:09:55; output=/Volumes/导演们/埃里克·侯麦/德莱叶.Cinéastes.de.notre.temps.Carl.Th.Dreyer.1965.mkv
DONE	/Volumes/导演们/安杰伊·瓦依达/伊乌扎的陶瓷	completed 2026-06-10 14:10:00; output moved; empty leftover dirs removed after script fix
DONE	/Volumes/导演们/安杰伊·瓦依达/桦树林	completed 2026-06-10 14:14:49; output=/Volumes/导演们/安杰伊·瓦依达/桦树林.Brzezina.1970.XVID-KG.mkv
DONE	/Volumes/导演们/荻上直子/厕所	completed 2026-06-10 14:15:41; output=/Volumes/导演们/荻上直子/厕所.Toilet.2010.DVDRip.XviD-MOC.mkv
DONE	/Volumes/导演们/多罗塔·肯杰尔扎沃斯卡/候鸟	completed 2026-06-10 14:16:06; output=/Volumes/导演们/多罗塔·肯杰尔扎沃斯卡/候鸟.Wrony.1994.mkv
DONE	/Volumes/导演们/多罗塔·肯杰尔扎沃斯卡/我是	completed 2026-06-10 14:16:54; output=/Volumes/导演们/多罗塔·肯杰尔扎沃斯卡/我是.Jestem.2005.DVDRip.XViD-DvF.mkv
DONE	/Volumes/导演们/多罗塔·肯杰尔扎沃斯卡/死期将至	completed 2026-06-10 14:17:44; output=/Volumes/导演们/多罗塔·肯杰尔扎沃斯卡/死期将至.Time.To.Die.2007.DVDRip.XviD-RESERVED.mkv
DONE	/Volumes/导演们/弗里茨·朗/夜澜人未静	completed 2026-06-10 14:18:18; output=/Volumes/导演们/弗里茨·朗/夜澜人未静.While.The.City.Sleeps.1956.mkv
DONE	/Volumes/导演们/弗里茨·朗/恶人牧场	completed 2026-06-10 14:18:51; output=/Volumes/导演们/弗里茨·朗/恶人牧场.Rancho.Notorious.1952.DVDRip.XviD-iMMORTALs.mkv
