folder	reason	detail
/Volumes/导演们/拉斯·冯·特里尔	not a single movie folder	movies=13 subtitles=0 subdirs=5 other_files=1
/Volumes/导演们/拉斯·冯·特里尔/医院风云I	not a single movie folder	movies=2 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/拉斯·冯·特里尔/医院风云II	not a single movie folder	movies=4 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/拉斯·冯·特里尔/女性瘾者	not a single movie folder	movies=2 subtitles=0 subdirs=1 other_files=0
/Volumes/导演们/拉斯·冯·特里尔/女性瘾者/extras	not a single movie folder	movies=5 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/拉斯·冯·特里尔/曼德勒	not a single movie folder	movies=2 subtitles=2 subdirs=0 other_files=0
/Volumes/导演们/拉斯·冯·特里尔/犯罪元素	not a single movie folder	movies=2 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/让·雷诺阿	not a single movie folder	movies=10 subtitles=0 subdirs=4 other_files=1
/Volumes/导演们/让·雷诺阿/艾琳娜和她的男人们	not a single movie folder	movies=3 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/让·雷诺阿/逃兵	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/让·雷诺阿/黄金马车	not a single movie folder	movies=4 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/韦斯·安德森	not a single movie folder	movies=7 subtitles=0 subdirs=1 other_files=2
/Volumes/导演们/詹姆斯·卡梅隆	not a single movie folder	movies=7 subtitles=0 subdirs=2 other_files=0
/Volumes/导演们/詹姆斯·卡梅隆/詹姆斯·卡梅隆的科幻故事	not a single movie folder	movies=6 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/詹姆斯·卡梅隆/阿凡达	not a single movie folder	movies=2 subtitles=0 subdirs=1 other_files=0
/Volumes/导演们/詹姆斯·卡梅隆/阿凡达/花絮	not a single movie folder	movies=4 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/埃里克·侯麦	not a single movie folder	movies=31 subtitles=0 subdirs=3 other_files=0
/Volumes/导演们/埃里克·侯麦/六个道德故事	not a single movie folder	movies=5 subtitles=0 subdirs=0 other_files=1
/Volumes/导演们/埃里克·侯麦/男神和女神的罗曼史	not a single movie folder	movies=2 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/安德烈·祖拉斯基	not a single movie folder	movies=5 subtitles=0 subdirs=1 other_files=1
/Volumes/导演们/安德烈·祖拉斯基/黄教僧	not a single movie folder	movies=4 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/安杰伊·瓦依达	not a single movie folder	movies=10 subtitles=0 subdirs=7 other_files=1
/Volumes/导演们/安杰伊·瓦依达/伊乌扎的陶瓷	single movie folder without root subtitles but has extras/other files	subdirs=1 other_files=0
/Volumes/导演们/安杰伊·瓦依达/伊乌扎的陶瓷/Ceramika ilzecka(1951)	not a single movie folder	movies=0 subtitles=2 subdirs=0 other_files=0
/Volumes/导演们/安杰伊·瓦依达/入侵立陶宛	not a single movie folder	movies=2 subtitles=0 subdirs=0 other_files=2
/Volumes/导演们/安杰伊·瓦依达/地下水道	not a single movie folder	movies=3 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/安杰伊·瓦依达/婚礼	not a single movie folder	movies=2 subtitles=5 subdirs=0 other_files=0
/Volumes/导演们/安杰伊·瓦依达/灰烬	not a single movie folder	movies=3 subtitles=0 subdirs=1 other_files=0
/Volumes/导演们/安杰伊·瓦依达/灰烬/灰烬Popily	not a single movie folder	movies=0 subtitles=6 subdirs=0 other_files=0
/Volumes/导演们/大卫·林奇	not a single movie folder	movies=9 subtitles=0 subdirs=2 other_files=1
/Volumes/导演们/大卫·林奇/妖夜荒踪	not a single movie folder	movies=0 subtitles=1 subdirs=0 other_files=0
/Volumes/导演们/荻上直子	not a single movie folder	movies=4 subtitles=0 subdirs=1 other_files=0
/Volumes/导演们/多罗塔·肯杰尔扎沃斯卡	subdir is not subtitle-only or feature-like	/Volumes/导演们/多罗塔·肯杰尔扎沃斯卡/候鸟 subtitles=1 movies=1 others=0 nested_dirs=0
/Volumes/导演们/多罗塔·肯杰尔扎沃斯卡	subdir is not subtitle-only or feature-like	/Volumes/导演们/多罗塔·肯杰尔扎沃斯卡/我是 subtitles=1 movies=1 others=0 nested_dirs=0
/Volumes/导演们/多罗塔·肯杰尔扎沃斯卡	subdir is not subtitle-only or feature-like	/Volumes/导演们/多罗塔·肯杰尔扎沃斯卡/死期将至 subtitles=2 movies=1 others=0 nested_dirs=0
/Volumes/导演们/多罗塔·肯杰尔扎沃斯卡	single movie folder without root subtitles but has extras/other files	subdirs=3 other_files=0
/Volumes/导演们/弗朗索瓦·特吕弗	not a single movie folder	movies=18 subtitles=0 subdirs=2 other_files=0
/Volumes/导演们/弗朗索瓦·特吕弗/最后一班地铁	not a single movie folder	movies=0 subtitles=0 subdirs=0 other_files=2
/Volumes/导演们/弗朗索瓦·特吕弗/零用钱	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/弗里茨·朗	not a single movie folder	movies=8 subtitles=0 subdirs=11 other_files=0
/Volumes/导演们/弗里茨·朗/万里追踪	not a single movie folder	movies=0 subtitles=0 subdirs=0 other_files=3
/Volumes/导演们/弗里茨·朗/大内幕	not a single movie folder	movies=0 subtitles=0 subdirs=0 other_files=3
/Volumes/导演们/弗里茨·朗/大都会	single movie folder without root subtitles but has extras/other files	subdirs=1 other_files=0
/Volumes/导演们/弗里茨·朗/大都会/大都会修复制作花絮	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/弗里茨·朗/狂怒	not a single movie folder	movies=0 subtitles=0 subdirs=0 other_files=3
/Volumes/导演们/弗里茨·朗/绿窗艳影	not a single movie folder	movies=0 subtitles=0 subdirs=0 other_files=3
/Volumes/导演们/弗里茨·朗/血红街道	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/弗里茨·朗/赌徒马布斯博士	not a single movie folder	movies=3 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/弗里茨·朗/马布斯博士的遗嘱	not a single movie folder	movies=5 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/黑泽明	not a single movie folder	movies=31 subtitles=0 subdirs=2 other_files=0
/Volumes/导演们/黑泽明/天国与地狱	not a single movie folder	movies=3 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/黑泽明/乱	not a single movie folder	movies=7 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/吉列姆	not a single movie folder	movies=5 subtitles=0 subdirs=0 other_files=1
/Volumes/导演们/路易·马勒	not a single movie folder	movies=11 subtitles=0 subdirs=3 other_files=2
/Volumes/导演们/路易·马勒/大西洋城	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/路易·马勒/通往绞刑架的电梯.Elevator.to.the.Gallows.DVD.CC.MiniSD-TLF	not a single movie folder	movies=11 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/路易·马勒/鬼火	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/罗伯托·罗西里尼	not a single movie folder	movies=9 subtitles=0 subdirs=5 other_files=0
/Volumes/导演们/罗伯托·罗西里尼/火刑柱上的贞德	not a single movie folder	movies=2 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/罗伯托·罗西里尼/笛卡尔	not a single movie folder	movies=2 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/罗伯托·罗西里尼/罗维雷将军	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/罗伊·安德森	subdir is not subtitle-only or feature-like	/Volumes/导演们/罗伊·安德森/你还活着 subtitles=2 movies=1 others=0 nested_dirs=0
/Volumes/导演们/罗伊·安德森	subdir is not subtitle-only or feature-like	/Volumes/导演们/罗伊·安德森/羁旅情愫 subtitles=1 movies=1 others=0 nested_dirs=0
/Volumes/导演们/罗伊·安德森	single movie folder without root subtitles but has extras/other files	subdirs=2 other_files=1
/Volumes/导演们/乔拉·赫兹	not a single movie folder	movies=2 subtitles=0 subdirs=6 other_files=0
/Volumes/导演们/乔拉·赫兹/魔格亚纳	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/乔治·梅里爱	not a single movie folder	movies=8 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/清水宏	subdir is not subtitle-only or feature-like	/Volumes/导演们/清水宏/多谢先生 subtitles=0 movies=1 others=2 nested_dirs=0
/Volumes/导演们/清水宏	subdir is not subtitle-only or feature-like	/Volumes/导演们/清水宏/按摩师与女人 subtitles=0 movies=1 others=2 nested_dirs=0
/Volumes/导演们/清水宏	subdir is not subtitle-only or feature-like	/Volumes/导演们/清水宏/港口的日本姑娘 subtitles=0 movies=1 others=2 nested_dirs=0
/Volumes/导演们/清水宏	subdir is not subtitle-only or feature-like	/Volumes/导演们/清水宏/簪 subtitles=0 movies=1 others=2 nested_dirs=0
/Volumes/导演们/清水宏	subdir is not subtitle-only or feature-like	/Volumes/导演们/清水宏/风中的子供 subtitles=0 movies=1 others=2 nested_dirs=0
/Volumes/导演们/清水宏	single movie folder without root subtitles but has extras/other files	subdirs=5 other_files=0
/Volumes/导演们/清水宏/多谢先生	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/清水宏/按摩师与女人	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/清水宏/港口的日本姑娘	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/清水宏/簪	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/清水宏/风中的子供	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/让-克劳德·布里索	not a single movie folder	movies=8 subtitles=0 subdirs=3 other_files=0
/Volumes/导演们/让-克劳德·布里索/残酷的游戏	not a single movie folder	movies=2 subtitles=1 subdirs=0 other_files=0
/Volumes/导演们/让-克劳德·布里索/黑天使	not a single movie folder	movies=2 subtitles=3 subdirs=0 other_files=0
/Volumes/导演们/让·谷克多/奥菲斯	not a single movie folder	movies=2 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/让·谷克多/奥菲斯的遗嘱	not a single movie folder	movies=3 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/让·谷克多/诗人之血	not a single movie folder	movies=2 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/让·维果	subdir is not subtitle-only or feature-like	/Volumes/导演们/让·维果/塔里斯 subtitles=1 movies=1 others=0 nested_dirs=0
/Volumes/导演们/让·维果	subdir is not subtitle-only or feature-like	/Volumes/导演们/让·维果/操行零分 subtitles=1 movies=1 others=0 nested_dirs=0
/Volumes/导演们/让·维果	subdir is not subtitle-only or feature-like	/Volumes/导演们/让·维果/驳船亚特兰大号 subtitles=2 movies=1 others=0 nested_dirs=0
/Volumes/导演们/让·维果	single movie folder without root subtitles but has extras/other files	subdirs=3 other_files=0
/Volumes/导演们/让·尤斯塔奇/母亲与娼妓	not a single movie folder	movies=2 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/三隅研次	not a single movie folder	movies=6 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/山中贞雄	not a single movie folder	movies=2 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/岩井俊二	not a single movie folder	movies=10 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/约翰.休斯顿	not a single movie folder	movies=6 subtitles=0 subdirs=2 other_files=0
/Volumes/导演们/塚本晋也	not a single movie folder	movies=3 subtitles=0 subdirs=1 other_files=0
/Volumes/导演们/罗伯特·布列松	not a single movie folder	movies=4 subtitles=0 subdirs=12 other_files=0
/Volumes/导演们/罗伯特·布列松/布列松的书	not a single movie folder	movies=0 subtitles=0 subdirs=0 other_files=2
/Volumes/导演们/罗伯特·布列松/布劳涅森林的女人们	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/罗伯特·布列松/穆谢特	not a single movie folder	movies=2 subtitles=0 subdirs=0 other_files=0
