folder	movie	root_subtitle_count	subdir_move_count	note
/Volumes/导演们/让·雷诺阿/逃兵	/Volumes/导演们/让·雷诺阿/逃兵/逃兵.Le.Caporal.Epingle.1962.mp4	1	0	paired sidecar: 逃兵.sub
/Volumes/导演们/弗朗索瓦·特吕弗/零用钱	/Volumes/导演们/弗朗索瓦·特吕弗/零用钱/零用钱.L.Argent.De.Poche.1976.Fr.Truffaut.mp4	1	0	paired sidecar: 零用钱.L.Argent.De.Poche.(1975.-.Fr.Truffaut).sub
/Volumes/导演们/弗里茨·朗/血红街道	/Volumes/导演们/弗里茨·朗/血红街道/血红街道.Scarlet.Street.1945.mkv	1	0	paired sidecar: 血红街道.Scarlet.Street.1945.chs.sub
/Volumes/导演们/路易·马勒/大西洋城	/Volumes/导演们/路易·马勒/大西洋城/大西洋城.Atlantic.City.1980.Louis.Malle.Spanish.English.DVD-Rip.XviD.avi	1	0	paired sidecar: 大西洋城.Atlantic.City.(Louis.Malle.1980).(Spanish.English).DVD-Rip.XviD.sub
/Volumes/导演们/路易·马勒/鬼火	/Volumes/导演们/路易·马勒/鬼火/鬼火.Louis.Malle-Le.Feu.follet.1963.avi	1	0	paired sidecar: 鬼火.Louis.Malle-Le.Feu.follet.1963.chs.sub
/Volumes/导演们/罗伯托·罗西里尼/罗维雷将军	/Volumes/导演们/罗伯托·罗西里尼/罗维雷将军/罗维雷将军.Il.Generale.Della.Rovere.1959.BD.MiniSD-TLF.mkv	1	0	paired sidecar: 罗维雷将军.Il.Generale.Della.Rovere.1959.BD.MiniSD-TLF.chs.sub
/Volumes/导演们/乔拉·赫兹/魔格亚纳	/Volumes/导演们/乔拉·赫兹/魔格亚纳/魔格亚纳.Morgiana.1972.avi	1	0	paired sidecar: 魔格亚纳.Morgiana.1972.sub
/Volumes/导演们/清水宏/多谢先生	/Volumes/导演们/清水宏/多谢先生/多谢先生.Arigato-san.1936.mkv	1	0	paired sidecar: 多谢先生.Arigato-san.1936.chs.sub
/Volumes/导演们/清水宏/按摩师与女人	/Volumes/导演们/清水宏/按摩师与女人/按摩师与女人.Anma.to.onna.1938.mkv	1	0	paired sidecar: 按摩师与女人.Anma.to.onna.1938.chs.sub
/Volumes/导演们/清水宏/港口的日本姑娘	/Volumes/导演们/清水宏/港口的日本姑娘/港口的日本姑娘.Hiroshi.Shimizu.1933.Minato.No.Nihon.Musume.mkv	1	0	paired sidecar: 港口的日本姑娘.Hiroshi.Shimizu.1933.Minato.No.Nihon.Musume.sub
