folder	subdir	note_or_subtitle_count	movie_count	other_file_count	nested_dir_count
/Volumes/导演们/多罗塔·肯杰尔扎沃斯卡	/Volumes/导演们/多罗塔·肯杰尔扎沃斯卡/候鸟	1	1	0	0
/Volumes/导演们/多罗塔·肯杰尔扎沃斯卡	/Volumes/导演们/多罗塔·肯杰尔扎沃斯卡/我是	1	1	0	0
/Volumes/导演们/多罗塔·肯杰尔扎沃斯卡	/Volumes/导演们/多罗塔·肯杰尔扎沃斯卡/死期将至	2	1	0	0
/Volumes/导演们/弗里茨·朗/大都会	/Volumes/导演们/弗里茨·朗/大都会/大都会修复制作花絮	feature/extras-like subdir skipped
/Volumes/导演们/罗伊·安德森	/Volumes/导演们/罗伊·安德森/你还活着	2	1	0	0
/Volumes/导演们/罗伊·安德森	/Volumes/导演们/罗伊·安德森/羁旅情愫	1	1	0	0
/Volumes/导演们/清水宏	/Volumes/导演们/清水宏/多谢先生	0	1	2	0
/Volumes/导演们/清水宏	/Volumes/导演们/清水宏/按摩师与女人	0	1	2	0
/Volumes/导演们/清水宏	/Volumes/导演们/清水宏/港口的日本姑娘	0	1	2	0
/Volumes/导演们/清水宏	/Volumes/导演们/清水宏/簪	0	1	2	0
/Volumes/导演们/清水宏	/Volumes/导演们/清水宏/风中的子供	0	1	2	0
/Volumes/导演们/让·维果	/Volumes/导演们/让·维果/塔里斯	1	1	0	0
/Volumes/导演们/让·维果	/Volumes/导演们/让·维果/操行零分	1	1	0	0
/Volumes/导演们/让·维果	/Volumes/导演们/让·维果/驳船亚特兰大号	2	1	0	0
/Volumes/导演们/马丁·斯科塞斯/下班后	/Volumes/导演们/马丁·斯科塞斯/下班后/花絮	feature/extras-like subdir skipped
/Volumes/导演们/琪拉·穆拉托娃/一事二了	/Volumes/导演们/琪拉·穆拉托娃/一事二了/英文字幕	0	0	2	0
/Volumes/导演们/琪拉·穆拉托娃/狂热	/Volumes/导演们/琪拉·穆拉托娃/狂热/狂熱	0	0	2	0
/Volumes/导演们/阿涅斯·瓦尔达/小心太阳眼镜	/Volumes/导演们/阿涅斯·瓦尔达/小心太阳眼镜/关于《小心太阳眼镜》[英字]	0	1	2	0
/Volumes/导演们/雷德利·斯科特/银翼杀手	/Volumes/导演们/雷德利·斯科特/银翼杀手/危险的日子：银翼杀手制作始末	3	3	2	0
/Volumes/导演们/米洛斯·福尔曼/消防员舞会	/Volumes/导演们/米洛斯·福尔曼/消防员舞会/字幕	0	0	2	0
/Volumes/导演们/盖伊·马丁/心灵格码	/Volumes/导演们/盖伊·马丁/心灵格码/花絮	feature/extras-like subdir skipped
/Volumes/导演们/盖伊·马丁/钥匙孔	/Volumes/导演们/盖伊·马丁/钥匙孔/Sample	feature/extras-like subdir skipped
/Volumes/导演们/盖伊·马丁/钥匙孔	/Volumes/导演们/盖伊·马丁/钥匙孔/Subs	0	0	3	0
/Volumes/导演们/特伦斯·戴维斯	/Volumes/导演们/特伦斯·戴维斯/漫长的一天结束了	1	1	0	0
/Volumes/导演们/特伦斯·戴维斯	/Volumes/导演们/特伦斯·戴维斯/特伦斯·戴维斯三部曲	3	4	0	0
/Volumes/导演们/阿贝尔·冈斯/[决战奥斯特里兹].Austerlitz	/Volumes/导演们/阿贝尔·冈斯/[决战奥斯特里兹].Austerlitz/french (ponctual) idx+sub	0	0	2	0
/Volumes/导演们/法兰提塞·维拉席/蜂之山谷	/Volumes/导演们/法兰提塞·维拉席/蜂之山谷/花絮	feature/extras-like subdir skipped
/Volumes/导演们/阿兰·卡瓦利埃	/Volumes/导演们/阿兰·卡瓦利埃/Le Filmeur	1	1	0	0
/Volumes/导演们/阿兰·卡瓦利埃	/Volumes/导演们/阿兰·卡瓦利埃/小岛上的决斗	1	1	0	0
/Volumes/导演们/阿兰·卡瓦利埃	/Volumes/导演们/阿兰·卡瓦利埃/狂乱	1	1	0	0
/Volumes/导演们/埃利达尔·梁赞诺夫	/Volumes/导演们/埃利达尔·梁赞诺夫/命运的捉弄	2	2	0	0
/Volumes/导演们/埃利达尔·梁赞诺夫	/Volumes/导演们/埃利达尔·梁赞诺夫/意大利人在俄罗斯的奇遇	0	1	2	0
/Volumes/导演们/帕索里尼/罗马妈妈	/Volumes/导演们/帕索里尼/罗马妈妈/zimu	4	0	0	1
/Volumes/导演们/佩德罗·科斯塔	/Volumes/导演们/佩德罗·科斯塔/不变的你	0	1	0	1
/Volumes/导演们/佩德罗·科斯塔	/Volumes/导演们/佩德罗·科斯塔/何处安放你藏起的笑容	0	1	3	0
/Volumes/导演们/佩德罗·科斯塔	/Volumes/导演们/佩德罗·科斯塔/前进青春	0	5	0	0
/Volumes/导演们/佩德罗·科斯塔	/Volumes/导演们/佩德罗·科斯塔/我们的人	3	1	0	0
/Volumes/导演们/佩德罗·科斯塔	/Volumes/导演们/佩德罗·科斯塔/落入俗世	1	1	0	0
/Volumes/导演们/佩德罗·科斯塔	/Volumes/导演们/佩德罗·科斯塔/血	0	1	2	0
/Volumes/导演们/佩德罗·科斯塔	/Volumes/导演们/佩德罗·科斯塔/骨未成灰	0	3	0	0
/Volumes/导演们/佩德罗·科斯塔/不变的你	/Volumes/导演们/佩德罗·科斯塔/不变的你/Extras	feature/extras-like subdir skipped
/Volumes/导演们/朱拉·亚库比斯克	/Volumes/导演们/朱拉·亚库比斯克/(1977)红十字的鼓手 Bubeník Cerveného kríza	2	1	0	0
/Volumes/导演们/朱拉·亚库比斯克	/Volumes/导演们/朱拉·亚库比斯克/(1980)家屋的梦想 Postav dom, zasad strom	2	1	0	0
/Volumes/导演们/朱拉·亚库比斯克	/Volumes/导演们/朱拉·亚库比斯克/(1989)潇洒上枝头	0	1	2	0
/Volumes/导演们/朱拉·亚库比斯克	/Volumes/导演们/朱拉·亚库比斯克/(2004)做爱后动物感伤 Post coitum	1	1	2	0
/Volumes/导演们/朱拉·亚库比斯克	/Volumes/导演们/朱拉·亚库比斯克/(2008)吸血女伯爵 Bathory	0	2	0	0
/Volumes/导演们/朱拉·亚库比斯克	/Volumes/导演们/朱拉·亚库比斯克/关于世界末日的不明确报告	1	1	0	0
/Volumes/导演们/朱拉·亚库比斯克	/Volumes/导演们/朱拉·亚库比斯克/千年蜂皇	0	2	0	0
/Volumes/导演们/朱拉·亚库比斯克	/Volumes/导演们/朱拉·亚库比斯克/小雀斑马克斯与幽灵们	1	1	0	0
/Volumes/导演们/朱拉·亚库比斯克	/Volumes/导演们/朱拉·亚库比斯克/羽毛精灵	0	1	1	0
/Volumes/导演们/朱拉·亚库比斯克	/Volumes/导演们/朱拉·亚库比斯克/背信者与流浪汉	4	2	0	0
/Volumes/导演们/朱拉·亚库比斯克	/Volumes/导演们/朱拉·亚库比斯克/至关紧要的岁月	1	1	0	0
/Volumes/导演们/朱拉·亚库比斯克	/Volumes/导演们/朱拉·亚库比斯克/诺娜和埃斯特	2	1	0	0
/Volumes/导演们/林赛·安德森	/Volumes/导演们/林赛·安德森/假如	0	1	2	0
/Volumes/导演们/林赛·安德森	/Volumes/导演们/林赛·安德森/如此运动生涯	0	1	2	0
/Volumes/导演们/林赛·安德森	/Volumes/导演们/林赛·安德森/幸运儿	2	2	0	0
