# status	folder	message
DONE	/Volumes/导演们/让·雷诺阿/逃兵	completed 2026-07-17 18:42:04; output=/Volumes/导演们/让·雷诺阿/逃兵.Le.Caporal.Epingle.1962.mkv
DONE	/Volumes/导演们/弗朗索瓦·特吕弗/零用钱	completed 2026-07-17 18:43:14; output=/Volumes/导演们/弗朗索瓦·特吕弗/零用钱.L.Argent.De.Poche.1976.Fr.Truffaut.mkv
DONE	/Volumes/导演们/弗里茨·朗/血红街道	completed 2026-07-17 18:44:07; output=/Volumes/导演们/弗里茨·朗/血红街道.Scarlet.Street.1945.mkv
DONE	/Volumes/导演们/路易·马勒/大西洋城	completed 2026-07-17 18:46:15; output=/Volumes/导演们/路易·马勒/大西洋城.Atlantic.City.1980.Louis.Malle.Spanish.English.DVD-Rip.XviD.mkv
DONE	/Volumes/导演们/路易·马勒/鬼火	completed 2026-07-17 18:50:35; output=/Volumes/导演们/路易·马勒/鬼火.Louis.Malle-Le.Feu.follet.1963.mkv
DONE	/Volumes/导演们/罗伯托·罗西里尼/罗维雷将军	completed 2026-07-17 19:29:58; output=/Volumes/导演们/罗伯托·罗西里尼/罗维雷将军.Il.Generale.Della.Rovere.1959.BD.MiniSD-TLF.mkv
DONE	/Volumes/导演们/乔拉·赫兹/魔格亚纳	completed 2026-07-17 19:31:50; output=/Volumes/导演们/乔拉·赫兹/魔格亚纳.Morgiana.1972.mkv
DONE	/Volumes/导演们/清水宏/多谢先生	completed 2026-07-17 19:32:24; output=/Volumes/导演们/清水宏/多谢先生.Arigato-san.1936.mkv
DONE	/Volumes/导演们/清水宏/按摩师与女人	completed 2026-07-17 19:32:55; output=/Volumes/导演们/清水宏/按摩师与女人.Anma.to.onna.1938.mkv
DONE	/Volumes/导演们/清水宏/港口的日本姑娘	completed 2026-07-17 19:33:15; output=/Volumes/导演们/清水宏/港口的日本姑娘.Hiroshi.Shimizu.1933.Minato.No.Nihon.Musume.mkv
DONE	/Volumes/导演们/清水宏/簪	completed 2026-07-17 19:33:41; output=/Volumes/导演们/清水宏/簪.Ornamental.Hairpin.1941.mkv
DONE	/Volumes/导演们/清水宏/风中的子供	completed 2026-07-17 19:34:19; output=/Volumes/导演们/清水宏/风中的子供.Kaze.no.Naka.no.Kodomo.1937.mkv
DONE	/Volumes/导演们/罗伯特·布列松/布劳涅森林的女人们	completed 2026-07-17 19:35:16; output=/Volumes/导演们/罗伯特·布列松/布劳涅森林的女人们.Dames.du.Bois.De.Boulogne.1945.mkv
DONE	/Volumes/导演们/罗伯特·布列松/通往布列松之路	completed 2026-07-17 19:35:41; output=/Volumes/导演们/罗伯特·布列松/通往布列松之路.The.Road.to.Bresson.1984.mkv
DONE	/Volumes/导演们/玛琳·黛德丽[演员]/Marlene Dietrich Her Own Song玛琳·黛德丽的故事	completed 2026-07-17 19:37:25; output=/Volumes/导演们/玛琳·黛德丽[演员]/玛琳黛德丽的故事.Marlene.Dietrich.her.own.song.2001.mkv
DONE	/Volumes/导演们/玛琳·黛德丽[演员]/Morocco摩洛哥	completed 2026-07-17 19:38:56; output=/Volumes/导演们/玛琳·黛德丽[演员]/摩洛哥.Morocco.1930.DVDRip.Dual.Deu-Eng.(SiRiUs.sHaRe).mkv
FAILED	/Volumes/导演们/玛琳·黛德丽[演员]/The Garden of Allah阿拉的花园	subtitle decode produced replacement characters: /Volumes/导演们/玛琳·黛德丽[演员]/The Garden of Allah阿拉的花园/阿拉的花园.The.Garden.of.Allah.1936.Marlene.Dietricht.(.Eng-Span).srt
DONE	/Volumes/导演们/琪拉·穆拉托娃/狂热	completed 2026-07-17 19:41:40; output=/Volumes/导演们/琪拉·穆拉托娃/Uvlecheniya_[torrents.ru].mkv
DONE	/Volumes/导演们/琪拉·穆拉托娃/调音师/调音师1	completed 2026-07-17 19:43:06; output=/Volumes/导演们/琪拉·穆拉托娃/调音师/Nastroyshchik (2004) CD 1.mkv
DONE	/Volumes/导演们/琪拉·穆拉托娃/调音师/调音师2	completed 2026-07-17 19:44:38; output=/Volumes/导演们/琪拉·穆拉托娃/调音师/Nastroyshchik (2004) CD 2.mkv
FAILED	/Volumes/导演们/让·吕克.戈达尔/当戈达尔遇到伍迪艾伦	subtitle encoding detection failed: /Volumes/导演们/让·吕克.戈达尔/当戈达尔遇到伍迪艾伦/当戈达尔遇到伍迪艾伦.Meeting.Woody.Allen.1986.chs.srt :: 
DONE	/Volumes/导演们/阿基·考里斯马基/王子复仇新记	completed 2026-07-17 19:45:24; output=/Volumes/导演们/阿基·考里斯马基/王子复仇新记.Aki.Kaurismaki.1987.-.Hamlet.Goes.Business.VOSE.mkv
DONE	/Volumes/导演们/阿莫多瓦/斗牛士	completed 2026-07-17 19:45:57; output=/Volumes/导演们/阿莫多瓦/斗牛士.Matador.1986.EngSubs.mkv
DONE	/Volumes/导演们/阿莫多瓦/活色生香	completed 2026-07-17 19:46:43; output=/Volumes/导演们/阿莫多瓦/活色生香.Live.Flesh.1997.DVDRip.XviD.iNT-YYddr.mkv
DONE	/Volumes/导演们/阿莫多瓦/激情迷宫	completed 2026-07-17 19:47:33; output=/Volumes/导演们/阿莫多瓦/激情迷宫.labyrinth.of.passion.1982.dvdrip.xvid-imbt.mkv
DONE	/Volumes/导演们/阿涅斯·瓦尔达/小心太阳眼镜/关于《小心太阳眼镜》[英字]	completed 2026-07-17 19:47:38; output=/Volumes/导演们/阿涅斯·瓦尔达/小心太阳眼镜/关于《小心太阳眼镜》.mkv
DONE	/Volumes/导演们/达内兄弟/他人之子	completed 2026-07-17 19:51:48; output=/Volumes/导演们/达内兄弟/另一个儿子.Le.Fils.de.l.autre.2012.The.Other.Son.BDRip.X264.iNT-TLF.mkv
DONE	/Volumes/导演们/莱妮·里芬斯塔尔/奥林匹亚1：民族的节日	completed 2026-07-17 20:12:36; output=/Volumes/导演们/莱妮·里芬斯塔尔/奥林匹亚1：民族的节日.Olympia.I.1938.mkv
DONE	/Volumes/导演们/路易斯·布努埃/无粮之土	completed 2026-07-17 20:12:52; output=/Volumes/导演们/路易斯·布努埃/无粮之土.Las.Hurdes.1933.DVDRip.XviD.mkv
DONE	/Volumes/导演们/路易斯·布努埃/沙漠中的西蒙	completed 2026-07-17 20:13:07; output=/Volumes/导演们/路易斯·布努埃/沙漠中的西蒙.1965.Simon.del.Desierto.mkv
DONE	/Volumes/导演们/路易斯·布努埃尔/墨西哥巴士奇遇	completed 2026-07-17 20:14:04; output=/Volumes/导演们/路易斯·布努埃尔/墨西哥巴士奇遇.Subida.al.cielo.1952.mkv
DONE	/Volumes/导演们/路易斯·布努埃尔/奇异的激情	completed 2026-07-17 20:14:56; output=/Volumes/导演们/路易斯·布努埃尔/奇异的激情.El.1952.DVDRip.XviD-QiX.mkv
DONE	/Volumes/导演们/路易斯·布努埃尔/帕欧的火山	completed 2026-07-17 20:15:53; output=/Volumes/导演们/路易斯·布努埃尔/帕欧的火山.La.Fievre.Monte.a.El.Pao.1959.mkv
DONE	/Volumes/导演们/路易斯·布努埃尔/没有爱的女人	completed 2026-07-17 20:20:43; output=/Volumes/导演们/路易斯·布努埃尔/没有爱的女人.Una.Mujer.sin.amor.1952.mkv
DONE	/Volumes/导演们/路易斯·布努埃尔/泯灭天使	completed 2026-07-17 20:21:25; output=/Volumes/导演们/路易斯·布努埃尔/泯灭天使.El.angel.exterminador.1962.mkv
DONE	/Volumes/导演们/路易斯·布努埃尔/纳萨林	completed 2026-07-17 20:22:12; output=/Volumes/导演们/路易斯·布努埃尔/纳萨林.Nazarin.1958.mkv
DONE	/Volumes/导演们/路易斯·布努埃尔/这就叫黎明	completed 2026-07-17 20:24:45; output=/Volumes/导演们/路易斯·布努埃尔/这就叫黎明.Cela.s'appelle.l'aurore.1956.mkv
DONE	/Volumes/导演们/路易斯·布努埃尔/银河	completed 2026-07-17 20:25:20; output=/Volumes/导演们/路易斯·布努埃尔/银河.Luis.Bunuel.-.le.Voie.Lactee.1969.mkv
DONE	/Volumes/导演们/罗伯特·奥尔特曼/像我们一样的强盗	completed 2026-07-17 20:25:54; output=/Volumes/导演们/罗伯特·奥尔特曼/像我们一样的强盗.Theives.Like.Us.1974.mkv
DONE	/Volumes/导演们/罗伯特·奥尔特曼/秘密的荣耀	completed 2026-07-17 20:26:26; output=/Volumes/导演们/罗伯特·奥尔特曼/秘密的荣耀.Secret.Honor.1984.mkv
DONE	/Volumes/导演们/马克斯·奥菲尔斯/伯爵夫人的耳环	completed 2026-07-17 20:29:28; output=/Volumes/导演们/马克斯·奥菲尔斯/伯爵夫人的耳环.Madame.de.1953.DVDrip.XviD.AC3.iNT-alaundo.mkv
DONE	/Volumes/导演们/米洛斯·福尔曼/消防员舞会	completed 2026-07-17 20:30:13; output=/Volumes/导演们/米洛斯·福尔曼/消防员舞会.The.Firemens.Ball.1967.mkv
DONE	/Volumes/导演们/米洛斯·福尔曼/爵士年代	completed 2026-07-17 20:31:11; output=/Volumes/导演们/米洛斯·福尔曼/爵士年代.Ragtime.1981.mkv
DONE	/Volumes/导演们/约翰·福特/荒漠义侠[字幕需调整]	completed 2026-07-17 20:31:38; output=/Volumes/导演们/约翰·福特/荒漠义侠.3.Godfathers.1948.字幕需调整.mkv
DONE	/Volumes/导演们/约翰·卡萨维茨/买起唐人经纪	completed 2026-07-17 20:32:17; output=/Volumes/导演们/约翰·卡萨维茨/买起唐人经纪.The.Killing.of.a.Chinese.Bookie.-.John.Cassavetes.1976.mkv
DONE	/Volumes/导演们/约翰·卡萨维茨/天下父母心	completed 2026-07-17 20:33:03; output=/Volumes/导演们/约翰·卡萨维茨/天下父母心A.Child.Is.Waiting.1963.mkv
DONE	/Volumes/导演们/约翰·卡萨维茨/夫君	completed 2026-07-17 20:33:33; output=/Volumes/导演们/约翰·卡萨维茨/夫君.Husbands.1970.mkv
DONE	/Volumes/导演们/约翰·卡萨维茨/影子	completed 2026-07-17 20:34:04; output=/Volumes/导演们/约翰·卡萨维茨/影子.Shadows.1959.John.Cassavetes.mkv
DONE	/Volumes/导演们/约翰·卡萨维茨/面孔	completed 2026-07-17 20:34:47; output=/Volumes/导演们/约翰·卡萨维茨/面孔.Faces.1968.John.Cassavetes.mkv
DONE	/Volumes/导演们/河濑直美/萌之朱雀	completed 2026-07-17 20:35:10; output=/Volumes/导演们/河濑直美/萌之朱雀.Naomi.Kawase-Moe.no.suzaku.1997.mkv
DONE	/Volumes/导演们/罗曼·波兰斯基/怪房客	completed 2026-07-17 20:35:45; output=/Volumes/导演们/罗曼·波兰斯基/房客.The.Tenant.(Roman.Polanski).1976.DVDRIP.XviD.mkv
DONE	/Volumes/导演们/盖伊·马丁/世界上最悲伤的音乐	completed 2026-07-17 20:36:32; output=/Volumes/导演们/盖伊·马丁/世界上最悲伤的音乐.the.Saddest.Music.in.the.World.2003.SMz.mkv
DONE	/Volumes/导演们/盖伊·马丁/我的温尼伯湖	completed 2026-07-17 20:37:23; output=/Volumes/导演们/盖伊·马丁/我的温尼伯湖.My.Winnipeg.2007.DVDRiP.XViD-DOCUMENT.mkv
DONE_REVIEW	/Volumes/导演们/盖伊·马丁/钥匙孔	output completed, but folder was not removed: /Volumes/导演们/盖伊·马丁/钥匙孔.keyhole.2011.limited.bdrip.xvid-psychd.mkv
FAILED	/Volumes/导演们/杰兹·斯科利莫夫斯基/栅栏	subtitle encoding detection failed: /Volumes/导演们/杰兹·斯科利莫夫斯基/栅栏/栅栏.Bariera.1966.chs.srt :: 
DONE	/Volumes/导演们/深作欣二/仁义的墓场	completed 2026-07-17 20:39:53; output=/Volumes/导演们/深作欣二/仁义的墓场.Graveyard.of.Honor.1975.mkv
