folder	reason	detail
/Volumes/导演们/拉斯·冯·特里尔/曼德勒	not a single movie folder	movies=2 root_subtitles=2 sidecars=0 unsupported=0 subdirs=0 other_files=0
/Volumes/导演们/安杰伊·瓦依达/入侵立陶宛	not a single movie folder	movies=2 root_subtitles=1 sidecars=1 unsupported=0 subdirs=0 other_files=0
/Volumes/导演们/安杰伊·瓦依达/婚礼	not a single movie folder	movies=2 root_subtitles=5 sidecars=0 unsupported=0 subdirs=0 other_files=0
/Volumes/导演们/安杰伊·瓦依达/灰烬/灰烬Popily	not a single movie folder	movies=0 root_subtitles=6 sidecars=0 unsupported=0 subdirs=0 other_files=0
/Volumes/导演们/大卫·林奇/妖夜荒踪	not a single movie folder	movies=0 root_subtitles=1 sidecars=0 unsupported=0 subdirs=0 other_files=0
/Volumes/导演们/弗里茨·朗/万里追踪	not a single movie folder	movies=0 root_subtitles=1 sidecars=1 unsupported=0 subdirs=0 other_files=1
/Volumes/导演们/弗里茨·朗/大内幕	not a single movie folder	movies=0 root_subtitles=1 sidecars=1 unsupported=0 subdirs=0 other_files=1
/Volumes/导演们/弗里茨·朗/狂怒	not a single movie folder	movies=0 root_subtitles=1 sidecars=1 unsupported=0 subdirs=0 other_files=1
/Volumes/导演们/弗里茨·朗/绿窗艳影	not a single movie folder	movies=0 root_subtitles=1 sidecars=1 unsupported=0 subdirs=0 other_files=1
/Volumes/导演们/清水宏	subdir is not subtitle-only or has unmatched sidecars	多谢先生: bad_subtitles=0 other=1
/Volumes/导演们/清水宏	subdir is not subtitle-only or has unmatched sidecars	按摩师与女人: bad_subtitles=0 other=1
/Volumes/导演们/清水宏	subdir is not subtitle-only or has unmatched sidecars	港口的日本姑娘: bad_subtitles=0 other=1
/Volumes/导演们/清水宏	subdir is not subtitle-only or has unmatched sidecars	簪: bad_subtitles=0 other=1
/Volumes/导演们/清水宏	subdir is not subtitle-only or has unmatched sidecars	风中的子供: bad_subtitles=0 other=1
/Volumes/导演们/让-克劳德·布里索/残酷的游戏	not a single movie folder	movies=2 root_subtitles=1 sidecars=0 unsupported=0 subdirs=0 other_files=0
/Volumes/导演们/让-克劳德·布里索/黑天使	not a single movie folder	movies=2 root_subtitles=3 sidecars=0 unsupported=0 subdirs=0 other_files=0
/Volumes/导演们/马丁·斯科塞斯/纯真年代	not a single movie folder	movies=2 root_subtitles=2 sidecars=2 unsupported=0 subdirs=0 other_files=0
/Volumes/导演们/马丁·斯科塞斯/美国电影之旅	not a single movie folder	movies=3 root_subtitles=3 sidecars=3 unsupported=0 subdirs=0 other_files=0
/Volumes/导演们/玛琳·黛德丽[演员]/Pittsburgh匹兹堡	not a single movie folder	movies=1 root_subtitles=0 sidecars=1 unsupported=0 subdirs=0 other_files=0
/Volumes/导演们/迈克尔·柯蒂斯/欲海情魔	not a single movie folder	movies=0 root_subtitles=1 sidecars=1 unsupported=0 subdirs=0 other_files=1
/Volumes/导演们/琪拉·穆拉托娃/一事二了/英文字幕	not a single movie folder	movies=0 root_subtitles=1 sidecars=1 unsupported=0 subdirs=0 other_files=0
/Volumes/导演们/琪拉·穆拉托娃/狂热/狂熱	not a single movie folder	movies=0 root_subtitles=1 sidecars=1 unsupported=0 subdirs=0 other_files=0
