folder	movies	root_subtitles	sidecars	unsupported_subtitles	subdirs	other_files
/Volumes/导演们/拉斯·冯·特里尔/曼德勒	2	曼德勒.Manderlay.2005.LiMiTED.DVDSCR.XVID.babies.cd1.chs.srt;曼德勒.Manderlay.2005.LiMiTED.DVDSCR.XVID.babies.cd2.chs.srt			0	0
/Volumes/导演们/让·雷诺阿/逃兵	1	逃兵.idx	逃兵.sub		0	0
/Volumes/导演们/安杰伊·瓦依达/入侵立陶宛	2	VTS_03_0.idx	VTS_03_0.sub		0	0
/Volumes/导演们/安杰伊·瓦依达/婚礼	2	Andrzej.Wajda.1973.Wesele.cd1.eng.srt;Andrzej.Wajda.1973.Wesele.cd1.srt;Andrzej.Wajda.1973.Wesele.cd2.chn.srt;Andrzej.Wajda.1973.Wesele.cd2.eng.srt;Andrzej.Wajda.1973.Wesele.cd2.srt			0	0
/Volumes/导演们/安杰伊·瓦依达/灰烬/灰烬Popily	0	Popioly.CD1..srt;Popioly.CD2..srt;Popioly.CD3..srt;灰烬 Popioly.CD1.chn.srt;灰烬 Popioly.CD2.chn.srt;灰烬 Popioly.CD3.chn.srt			0	0
/Volumes/导演们/大卫·林奇/妖夜荒踪	0	Lost.Highway.1997.DVDrip.Xvid.AC3-YYddr.gb.srt			0	0
/Volumes/导演们/弗朗索瓦·特吕弗/零用钱	1	零用钱.L.Argent.De.Poche.(1975.-.Fr.Truffaut).idx	零用钱.L.Argent.De.Poche.(1975.-.Fr.Truffaut).sub		0	0
/Volumes/导演们/弗里茨·朗/万里追踪	0	万里追踪.Man.Hunt.1941.idx	万里追踪.Man.Hunt.1941.sub		0	1
/Volumes/导演们/弗里茨·朗/大内幕	0	伟大的警察1953.idx	伟大的警察1953.sub		0	1
/Volumes/导演们/弗里茨·朗/狂怒	0	狂怒.Fury.1936.idx	狂怒.Fury.1936.sub		0	1
/Volumes/导演们/弗里茨·朗/绿窗艳影	0	绿窗艳影.idx	绿窗艳影.sub		0	1
/Volumes/导演们/弗里茨·朗/血红街道	1	血红街道.Scarlet.Street.1945.chs.idx	血红街道.Scarlet.Street.1945.chs.sub		0	0
/Volumes/导演们/路易·马勒/大西洋城	1	大西洋城.Atlantic.City.(Louis.Malle.1980).(Spanish.English).DVD-Rip.XviD.idx	大西洋城.Atlantic.City.(Louis.Malle.1980).(Spanish.English).DVD-Rip.XviD.sub		0	0
/Volumes/导演们/路易·马勒/鬼火	1	鬼火.Louis.Malle-Le.Feu.follet.1963.chs.idx	鬼火.Louis.Malle-Le.Feu.follet.1963.chs.sub		0	0
/Volumes/导演们/罗伯托·罗西里尼/罗维雷将军	1	罗维雷将军.Il.Generale.Della.Rovere.1959.BD.MiniSD-TLF.chs.idx	罗维雷将军.Il.Generale.Della.Rovere.1959.BD.MiniSD-TLF.chs.sub		0	0
/Volumes/导演们/乔拉·赫兹/魔格亚纳	1	魔格亚纳.Morgiana.1972.idx	魔格亚纳.Morgiana.1972.sub		0	0
/Volumes/导演们/清水宏/多谢先生	1	多谢先生.Arigato-san.1936.chs.idx	多谢先生.Arigato-san.1936.chs.sub		0	0
/Volumes/导演们/清水宏/按摩师与女人	1	按摩师与女人.Anma.to.onna.1938.chs.idx	按摩师与女人.Anma.to.onna.1938.chs.sub		0	0
/Volumes/导演们/清水宏/港口的日本姑娘	1	港口的日本姑娘.Hiroshi.Shimizu.1933.Minato.No.Nihon.Musume.idx	港口的日本姑娘.Hiroshi.Shimizu.1933.Minato.No.Nihon.Musume.sub		0	0
/Volumes/导演们/清水宏/簪	1	簪.Ornamental.Hairpin.1941.idx	簪.Ornamental.Hairpin.1941.sub		0	0
/Volumes/导演们/清水宏/风中的子供	1	风中的子供.chs.idx	风中的子供.chs.sub		0	0
/Volumes/导演们/让-克劳德·布里索/残酷的游戏	2	残酷的游戏.A.Brutal.Game.1983.Un.jeu.brutal.srt			0	0
/Volumes/导演们/让-克劳德·布里索/黑天使	2	L'ange.noir.(1994).srt;White.Wedding.(1989).Noce.Blanche.ch.srt;White.Wedding.(1989).Noce.Blanche.en.srt			0	0
/Volumes/导演们/罗伯特·布列松/布劳涅森林的女人们	1	布劳涅森林的女人们.Dames.du.Bois.De.Boulogne.1945.chs.idx	布劳涅森林的女人们.Dames.du.Bois.De.Boulogne.1945.chs.sub		0	0
/Volumes/导演们/罗伯特·布列松/通往布列松之路	1	通往布列松之路.The.Road.to.Bresson.1984.idx	通往布列松之路.The.Road.to.Bresson.1984.sub		0	0
/Volumes/导演们/马丁·斯科塞斯/纯真年代	2	the.age.of.innocence.cd1.1993.dvdrip.xvid.particle.idx;the.age.of.innocence.cd2.1993.dvdrip.xvid.particle.idx	1.sub;2.sub		0	0
/Volumes/导演们/马丁·斯科塞斯/美国电影之旅	3	美国电影之旅1995.1.idx;美国电影之旅1995.2.idx;美国电影之旅1995.3.idx	美国电影之旅1995.1.sub;美国电影之旅1995.2.sub;美国电影之旅1995.3.sub		0	0
/Volumes/导演们/玛琳·黛德丽[演员]/Marlene Dietrich Her Own Song玛琳·黛德丽的故事	1	Marlene Dietrich her own song.2001.CD01.idx	Marlene Dietrich her own song.2001.CD01.sub		0	0
/Volumes/导演们/玛琳·黛德丽[演员]/Morocco摩洛哥	1	VTS_01_0.idx	VTS_01_0.sub		0	0
/Volumes/导演们/玛琳·黛德丽[演员]/Pittsburgh匹兹堡	1		Pittsburgh.sub		0	0
/Volumes/导演们/玛琳·黛德丽[演员]/The Garden of Allah阿拉的花园	1	阿拉的花园.The.Garden.of.Allah.1936.Marlene.Dietricht.(.Eng-Span).srt			0	0
/Volumes/导演们/迈克尔·柯蒂斯/欲海情魔	0	欲海情魔.Mildred.Pierce.1945.chs.idx	欲海情魔.Mildred.Pierce.1945.chs.sub		0	1
/Volumes/导演们/琪拉·穆拉托娃/一事二了/英文字幕	0	dva_v_odnom_DVDRip.idx	dva_v_odnom_DVDRip.sub		0	0
